aircraft,hour_cost_rmb,cycle_cost_rmb,year,source_org,source_doc,source_url,status,notes
Caravan 208B 有人,5028,600,2024,Conklin & de Decker,2024 Cessna 208B Grand Caravan Operating Costs,https://conklindedecker.jetsupport.com/details/Cessna%20208B%20Grand%20Caravan,verified,$692/hr varHr × 7.27 汇率; 燃油按 45 gph (170 L/hr) 短程任务 profile
Caravan UAV (规模化),3224,350,2024,Reliable Robotics + Xwing 公开模型,FAA 改装中行业预测,,partial,"1:N 操作 + 混动均为中长期假设; 首批运营 3500-4000 元/hr"
Y-12F,9000,800,2024,第一性原理拆解,PT6A-65B × 2 参数推算,,partial,"燃油 330 kg/hr × 9 + 发动机储备 970 + 机体 700 + 飞行员 1200 + 折旧 2425 + 保险 500; 从原 6500 上调 38%"
C909F (ARJ21F),26000,3500,2024,第一性原理拆解 + 737-300F 同级比例,CF34-10A × 2 推算,,partial,"圆通 2 架; 8-10t 载荷 / 825 km/h; 10% 小于 737-800BCF 同级"
ATR 42-600F 国际,14500,3000,2024,Aircraft Cost Calculator,ATR 42 Operating Costs 2024,https://www.aircraftcostcalculator.com/AircraftOperatingCosts/474/ATR+42-500,verified,"拆解: 燃油 5580 + 维护 4000 + 飞行员 1800 + 折旧 2520 + 保险 600"
ATR 42-600F 中国,18000-21000,3000,2024,GACA 运营实际,中国支线货运实际运营,,partial,"机场费 + 年利用率低 (1500 vs 2500 hr) + 维护工时贵"
737-800BCF,35800,4500,2024,BTS Form 41 + 国内中位推算,顺丰/京东不披露分机型小时成本,https://www.bts.gov/browse-statistical-products-and-data/bts-publications/form-41-financial-data,partial,"美国同级 $5000-8500/hr 范围; 35800 = $4924 偏低端 (中国人工/燃油便宜部分抵消)"
757-200F,45900,5500,2024,BTS Form 41 + 国内中位推算,顺丰/邮航不披露分机型小时成本,https://www.bts.gov/browse-statistical-products-and-data/bts-publications/form-41-financial-data,partial,"美国同级 $6000-7500/hr 中位; 45900 = $6313"
TP500 (壹通),800-1000,200,2026,AOPA + 第一性原理,AOPA 支线货运 <5 元/吨km 反推 + 折旧补充,http://www.aopa.org.cn,partial,"取证试飞中 (TC 预计 2026 中); 50kW 涡轴级 UAV"
HH-200 (中航),5500-6500,500,2026,第一性原理拆解,WJ-9 / AES100 级双发涡桨,,partial,"1.5t 级 UAV 取证中; 首批生产油耗+维护 1.15-1.35x 系数"
CY-8 (长鹰),9500-12000,1200,2026,第一性原理拆解,1100hp × 2 涡桨推算,,partial,"2026.03 计划首飞; 3.5t/3000km"
W5000 (白鲸),9000-12000 (工况),2000,2026,白鲸航线 PR + 工况修正,PR 反推 + 油价/装载率修正,https://www.36kr.com/p/2600157312187269,partial,"PR 6100 假设内部油价 ¥7/kg/装载 100%; 工况打 1.5-2x"
